word	word.ipa	freq.count
you	j ʉː	2134713
the	d̪ ə	1501908
to	tʰ ʊ	1156570
s	ɛ s	1057301
a	ə	1041179
it	ɪ t	963712
t	tʲ iː	733338
that	ð æ t	719677
and	æ n	682780
of	ə v	590439
what	w ɐ ʔ	501965
in	ɪ n	498444
me	mʲ i	471339
is	ɪ z	459663
we	w iː	459607
this	d̪ ɪ s	406915
he	ç iː	389497
on	ɑ n	354742
for	f ɚ	351650
my	m ɑ	344899
m	ɛ m	343245
your	j ɚ	328715
don	d ɑ n	321085
have	h æ v	314232
do	d ʉː	312915
re	ɹ iː	311072
no	n ow	304549
be	bʲ i	293085
know	n ow	291780
was	w ɑ z	288391
not	n ɑ ʔ	276673
can	cʰ æ n	267620
are	ɑ ɹ	265672
all	ɑː ɫ	263255
with	w ɪ θ	257465
just	dʒ ɐ s t	242206
get	ɟ ɪ t	233772
here	ç ɪ ɹ	230788
but	b ɐ t	225291
ll	ɛ ɫ ɛ ɫ	224097
there	ð ɛ ɹ	221754
so	s ow	216452
they	ð ej	209250
right	ɹ aj t	204428
like	l aj k	203947
out	aw t	197131
go	ɡ ow	193445
she	ʃ i	190377
up	ɐ p	187170
about	b aw t	185206
if	ɪ f	180610
him	ç ɪ m	177710
got	ɡ ɑ t	168631
oh	ow	167781
at	æ t	164072
now	n aw	163333
come	kʰ ɐ m	160190
one	w ɐ n	156684
how	h aw	155867
well	w ɛ ɫ	152523
yeah	j æ	152262
her	h ɝ	144627
want	w ɒ n t	140718
think	θ ɪ ŋ k	137261
good	ɡ ʊ d	133117
see	s iː	130393
let	l ɛ	123381
did	dʲ ɪ d	119410
why	w aj	114687
who	ç ʉː	113370
as	ej z	113068
his	ç ɪ z	108364
will	w ə ɫ	108306
going	ɡ ow ɪ n	108288
from	f ɹ ə m	103992
when	w ɛ n	103739
back	b æ k	102467
okay	ow cʰ ej	102320
yes	j ɛ s	101835
gonna	ɡ ɐ n ə	101804
d	dʲ iː	101335
time	tʰ aj m	99890
look	l ʊ k	99311
take	tʰ ej k	96443
an	ə n	95071
man	m æ n	94133
where	w ɛ ɹ	93341
them	ð ɛ m	90720
would	w ʊ d	90162
been	b ɛ n	88573
some	s ɐ m	88089
hey	ç ej	88079
tell	tʰ ɛ ɫ	87949
or	ɚ	86970
us	ɐ s	86478
had	h æ d	85472
were	w ɚ	84804
say	s ej	83629
could	kʰ ʊ d	83109
really	ɹ ɪ ʎ i	76508
something	s ɐ m θ ɪ n	76508
down	d aw n	76004
then	ð ɪ n	75966
little	ʎ ɪ t ɫ̩	73766
way	w ej	72661
our	ɑ ɹ	71425
make	m ej k	70775
too	tʰ ʉ	69950
never	n ɛ v ɚ	69490
by	b aj	68364
over	ow v ɚ	67488
more	m ɒː ɹ	66228
need	ɲ iː d	66040
mean	mʲ iː n	63443
very	v ɛ ɹ i	63304
off	ɑ f	60155
sorry	s ɑ ɹ i	59566
give	ɟ ɪ v	59559
has	h æ z	57830
thank	t̪ æ ŋ k	56877
love	l ɐ v	56864
said	s ɛ d	56531
am	æ m	56438
people	pʰ i p ɫ̩	56252
please	pʲ ʎ i z	56149
sure	ʃ ʊ ɹ	56091
any	ɛ ɲ i	56068
thing	θ ɪ n	55522
only	ow ɲ ʎ i	55269
because	bʲ i kʰ ɑ z	54622
two	tʰ ʉ	54384
should	ʃ ʊ ɾ	54159
doing	d ʉː ɪ n	52492
much	m ɐ tʃ	49636
sir	s ɝ	49188
maybe	m ej bʲ i	47249
help	h ɛ ɫ p	46977
anything	ɛ ɲ i θ ɪ n	46270
these	d̪ iː z	46104
god	ɡ ɑ d	46061
even	iː v ə n	44672
night	n aj ʔ	44168
call	kʰ ɒ ɫ	43931
talk	tʰ ɑ k	43605
nothing	n ɐ θ ɪ n	43534
into	ɪ n tʰ ʉ	43074
first	f ɝ s	42869
find	f aj n	42379
wait	w ej ʔ	42343
put	pʰ ʊ t	42251
great	ɟ ɹ ej t	41864
thought	θ ɑː ʔ	41232
day	d ej	40893
work	w ɝ k	40699
life	l aj f	40629
before	bʲ i f ɒ ɹ	40501
better	b ɛ ɾ ɚ	40494
again	ə ɡ ɛ n	40428
still	s tʲ ɪ ɫ	40225
home	h ow m	39491
guy	ɟ aj	38893
won	w ɐ n	38729
those	ð ow z	38404
than	d̪ ə n	37679
around	ɹ aw n	37573
other	ɐ ð ɚ	37505
away	ə w ej	37276
new	ɲ ʉː	36913
last	l æ s	36878
uh	ɐ	36579
ever	ɛ v ɚ	36170
stop	s t ɑ p	36071
keep	cʰ iː p	35846
told	tʰ ow ɫ d	35679
must	m ɐ s t	35661
things	θ ɪ ŋ z	35337
big	bʲ ɪ ɡ	34824
after	æ f t ɚ	34812
long	l ɑ ŋ	34433
does	d ɐ z	34002
always	ɑː ɫ w ej z	33418
their	d̪ ɛ ɹ	33413
everything	ɛ v ɹ i θ ɪ n	33399
nice	n aj s	33125
name	ɲ ej m	32735
money	m ɐ ɲ i	32679
guys	ɟ aj z	32198
feel	fʲ ɪ ɫ	31989
believe	bʲ ɪ ʎ iː v	31882
thanks	θ æ ŋ k s	31789
old	ow ɫ d	31056
place	p l ej s	30736
fine	f aj n	30502
kind	cʰ aj n	30125
hello	h ɛ l ow	29857
lot	l ɑ	29066
years	j ɪ ɹ z	29003
made	m ej d	28626
leave	ʎ i v	28596
hi	h aj	28464
girl	ɡ ɝ ɫ	28413
hear	ç ɪ ɹ	28323
father	f ɑ d̪ ɚ	28279
through	θ ɹ ʉː	28026
every	ɛ v ə ɹ i	28007
bad	b æ ɾ	27804
listen	ʎ ɪ s ə n	27784
remember	m ɛ m ɚ	27666
three	θ ɹ iː	27654
boy	b ɔj	27021
coming	kʰ ɐ mʲ ɪ n	26878
wrong	ɹ ɒ ŋ	26678
might	m aj t	26334
stay	s t ej	26298
house	h aw s	26214
may	m ej	26080
baby	b ej bʲ i	25978
another	ə n ɐ d̪ ɚ	25970
dad	d æ d	25870
gotta	ɡ ɑ t ə	25852
wanna	w ɑ n ə	25796
wanted	w ɑ ɾ̃ ɪ d	25616
enough	ə n ɐ f	25568
talking	tʰ ɑ c ɪ n	25385
happened	h æ p n̩	24994
show	ʃ ow	24906
course	kʰ ɒ ɹ s	24848
being	bʲ iː ɪ n	24781
care	cʰ ɛ ɹ	24748
done	d ɐ n	24737
getting	ɡ ɛ ɾʲ ɪ n	24719
mind	m aj n	24715
left	l ɛ f t	24707
ask	æ s k	24640
car	kʰ ɑ ɹ	24636
understand	ɐ n ɚ s t æ n	24605
mother	m ɐ ð ɚ	24476
which	w ɪ tʃ	24339
try	t ɹ aj	24314
shit	ʃ ɪ t	24207
hell	h ɛ ɫ	24012
miss	mʲ ɪ s	23850
came	cʰ ej m	23650
own	ow n	23419
world	w ɝ ɫ d	23216
guess	ɡ ɛ s	23153
next	n ɛ k s	23090
kill	cʰ ɪ ɫ	23081
else	ɛ ɫ s	22907
dead	d ɛ ɾ	22898
trying	t ɹ aj ɪ n	22849
someone	s ɐ m w ɐ n	22752
real	ɹ ɪ ɫ	22583
room	ɹ ʉ m	22415
morning	m ɒ ɹ ɲ ɪ ŋ	22389
huh	h ə	22350
hold	h ow ɫ d	22273
woman	w ʊ m ə n	22166
yourself	j ɚ s ɛ ɫ f	22151
today	tʰ ə d ej	22124
looking	l ʊ c ɪ n	22066
mom	m ɑː m	21950
friend	f ɹ ɛ n	21384
move	m ʉː v	21325
same	s ej m	21276
job	dʒ ɑ b	21063
tonight	tʰ ə n aj ʔ	21047
went	w ɛ n t	20987
son	s ɐ n	20949
best	b ɛ s t	20623
saw	s ɑ	20527
found	f aw n	20196
pretty	p ɹ ɪ ɾʲ i	20003
ready	ɹ ɛ dʲ i	19778
heard	h ɝ ɾ	19775
whole	h ow ɫ	19660
seen	s iː n	19633
together	tʰ ʊ ɡ ɛ ð ɚ	19553
fuck	f ɐ k	19307
minute	mʲ ɪ ɲ ɪ ʔ	19252
men	m ɛ n	19011
head	h ɛ ɾ	18947
matter	m æ ɾ ɚ	18900
haven	ç ej v ɛ n	18844
knew	ɲ ʉː	18817
excuse	ɪ k s c ʉː z	18773
many	m ɛ ɲ i	18331
idea	aj dʲ i ə	18311
without	w ɪ d̪ aw ʔ	18087
play	p l ej	18081
family	f æ m ʎ i	18067
meet	mʲ iː t	17966
most	m ow s t	17889
run	ɹ ɐ n	17878
while	w aj ɫ	17821
wife	w aj f	17795
once	w ɐ n s	17589
live	ʎ ɪ v	17574
somebody	s ɐ m b ɑ dʲ i	17571
everybody	ɛ v ɹ i b ɑ dʲ i	17555
used	j ʉː z	17551
use	j ʉː s	17536
myself	m aj s ɛ ɫ f	17470
took	tʰ ʊ k	17454
yet	j ɛ ʔ	17428
start	s t ɑ ɹ t	17345
called	kʰ ɑː ɫ d	17341
kid	cʰ ɪ d	17299
tomorrow	tʰ ə m ɑ ɹ ow	17134
happy	h æ pʲ i	16993
school	s k ʉː ɫ	16989
problem	p ɹ ɑ b l ə m	16833
watch	w ɑ tʃ	16831
bring	b ɹ ɪ ŋ	16685
fucking	f ɐ c ɪ n	16603
actually	æ k tʃ ə ʎ i	16439
business	bʲ ɪ z ɲ ɪ z	16371
says	s ɛ z	16356
hope	h ow p	16352
open	ow p ə n	16341
already	ɒ ɫ ɹ ɛ dʲ i	16246
since	s ɪ n s	16064
looks	l ʊ k s	15886
sit	s ɪ t	15879
cause	kʰ ɑ z	15812
alone	ə l ow n	15735
hard	h ɑ ɹ d	15700
wants	w ɒ n t s	15655
stuff	s t ɐ f	15653
turn	tʰ ɝ n	15630
days	d ej z	15592
friends	f ɹ ɛ n z	15578
until	ə n t ə ɫ	15426
few	fʲ ʉ	15393
kids	cʰ ɪ d z	15356
honey	h ɐ ɲ i	15325
gone	ɡ ɑ n	15135
both	b ow θ	15062
door	d ɒ ɹ	14895
later	l ej ɾ ɚ	14889
saying	s ej ɪ n	14874
such	s ɐ tʃ	14852
killed	cʰ ɪ ɫ d	14792
having	h æ vʲ ɪ n	14752
face	f ej s	14747
worry	w ɝ ɹ i	14638
ago	ə ɡ ow	14592
five	f aj v	14558
second	s ɛ k ə n	14513
brother	b ɹ ɐ d̪ ɚ	14481
damn	d æ m	14460
case	cʰ ej s	14403
thinking	θ ɪ ɲ c ɪ ŋ	14353
probably	p ɹ ɑ ʎ i	14323
beautiful	bʲ ʉː tʲ ɪ f ɫ̩	14266
hand	h æ n d	14262
check	tʃ ɛ k	14228
year	j ɪ ɹ	14174
forget	f ɚ ɡ ɛ t	14130
hit	ç ɪ t	14025
lost	l ɒ s t	13974
minutes	mʲ ɪ ɲ ɪ t s	13924
crazy	c ɹ ej z i	13886
late	l ej ʔ	13756
phone	f ow n	13756
nobody	n ow b ə dʲ i	13599
end	ɛ n d	13559
easy	iː z i	13551
doctor	d ɑ k t ɚ	13461
shut	ʃ ɐ ʔ	13455
under	ɐ n d ɚ	13358
part	pʰ ɑ ɹ t	13337
deal	dʲ iː ɫ	13330
die	d aj	13318
soon	s ʉː n	13140
four	f ɒ ɹ	13045
anyone	ɛ ɲ i w ɐ n	13018
pay	pʰ ej	12985
happen	h æ p ə n	12968
true	t ɹ ʉ	12921
each	i tʃ	12916
supposed	s p ow s	12865
em	ɛ m	12849
eat	iː t	12846
jack	dʒ æ k	12831
mine	m aj n	12800
working	w ɝ c ɪ n	12775
town	tʰ aw n	12644
afraid	ə f ɹ ej d	12631
drink	dʲ ɹ ɪ ŋ k	12617
exactly	ɪ ɡ z æ c ʎ i	12607
whatever	w ɐ tʰ ɛ v ɚ	12584
hurt	h ɝ t	12564
knows	n ow z	12492
heart	h ɑ ɹ t	12453
gave	ɟ ej v	12428
young	j ɐ ŋ	12402
everyone	ɛ v ɹ i w ɐ n	12324
chance	tʃ æ n s	12303
read	ɹ iː ɾ	12302
makes	m ej k s	12296
number	n ɐ m b ɚ	12288
taking	tʰ ej c ɪ n	12263
change	tʃ ej n dʒ	12258
anyway	ɛ ɲ i w ej	12164
week	w iː k	12164
married	m ɛ ɹ i d	12163
hands	h æ n z	12063
point	pʰ ɔj n t	12063
police	pʰ ə ʎ iː s	12044
word	w ɝ ɾ	12013
fun	f ɐ n	12010
wish	w ɪ ʃ	11991
bit	bʲ ɪ t	11987
game	ɟ ej m	11926
party	pʰ ɑ ɹ ɾʲ i	11890
set	s ɛ ʔ	11805
cut	kʰ ɐ ʔ	11718
comes	kʰ ɐ m z	11656
sleep	s ʎ i p	11625
shot	ʃ ɑ t	11599
anybody	ɛ ɲ i b ɐ dʲ i	11573
ass	æ s	11545
stand	s t æ n	11536
water	w ɒː t ɚ	11478
boys	b ɔj z	11432
trouble	t ɹ ɐ b ə ɫ	11401
dear	dʲ ɪ ɹ	11395
couple	kʰ ɐ p ɫ̩	11394
gets	ɟ ɪ t s	11364
making	m ej c ɪ n	11349
eyes	aj z	11299
break	b ɹ ej k	11275
story	s t ɒː ɹ i	11260
far	f ɑ ɹ	11259
times	tʰ aj m z	11221
um	ɐ m	11197
close	k l ow z	11191
means	mʲ iː n z	11136
funny	f ɐ ɲ i	11127
goes	ɡ ow z	11081
lady	l ej dʲ i	11071
death	d ɛ θ	11051
asked	æ s t	11029
walk	w ɑ k	11009
fire	f aj ɹ	10990
hours	aw ɹ z	10959
hate	ç ej t	10944
gun	ɡ ɐ n	10873
rest	ɹ ɛ s t	10861
person	pʰ ɝ s n̩	10857
inside	ɪ n s aj d	10775
waiting	w ej tʲ ɪ ŋ	10767
different	dʲ ɪ f ɹ n̩	10686
girls	ɡ ɝ ɫ z	10626
captain	cʰ æ p t ə n	10622
least	ʎ iː s t	10596
important	ɪ m pʰ ɒ ɹ t n̩	10587
ah	ɑː	10535
also	ɒ ɫ s ow	10528
line	l aj n	10515
yours	j ɒ ɹ z	10441
office	ɒ fʲ ɪ s	10399
dinner	dʲ ɪ n ɚ	10336
quite	kʷ aj ʔ	10332
against	ə ɡ ɛ n s t	10288
fight	f aj t	10255
side	s aj d	10247
six	s ɪ k s	10176
half	h æ f	10156
pick	pʰ ɪ k	10118
question	cʷ ɛ s tʃ n̩	10116
ahead	ə h ɛ ɾ	10115
cool	kʰ ʉː ɫ	9990
women	w ɪ m ɛ n	9978
body	b ɑ dʲ i	9972
high	h aj	9945
husband	h ɐ z b ə n	9935
john	dʒ ɑ n	9877
reason	ɹ iː z ə n	9858
almost	ɒ ɫ m ow s t	9857
dog	d ɑ ɡ	9835
buy	b aj	9814
truth	t ɹ ʉː θ	9801
met	m ɛ t	9758
telling	tʰ ɛ ʎ ɪ n	9730
hot	h ɑ ʔ	9682
o	ow	9598
anymore	ɛ ɲ i m ɒ ɹ	9597
behind	b ə h aj n	9581
started	s t ɑ ɹ ɾʲ ɪ d	9566
speak	s pʲ i k	9546
bed	b ɛ d	9543
moment	m ow m ə n t	9539
tried	t ɹ aj d	9529
blood	b l ɐ ɾ	9492
ma	m ə	9476
shall	ʃ æ ɫ	9441
daddy	d æ dʲ i	9439
stupid	s tʲ ʉː pʲ ɪ d	9405
along	ə l ɒ ŋ	9330
either	iː ð ɚ	9308
though	ð ow	9279
front	f ɹ ɐ n	9259
sister	s ɪ s t ɚ	9207
bye	b aj	9184
send	s ɛ n	9169
welcome	w ɛ ɫ k ə m	9140
sometimes	s ɐ m tʰ aj m z	9129
trust	t ɹ ɐ s t	9087
free	f ɹ iː	9054
book	b ʊ k	9026
answer	æ n s ɚ	8986
between	bʲ ɪ tʷ i n	8932
children	tʃ ɪ ɫ d ɹ ə n	8930
war	w ɒ ɹ	8912
hurry	h ɐ ɹ i	8856
fact	f æ k t	8801
brought	b ɹ ɒ ʔ	8786
bet	b ɛ t	8763
clear	c ʎ ɪ ɹ	8763
its	ɪ t s	8757
white	w aj t	8744
glad	ɟ ʎ æ d	8740
daughter	d ɒ ɾ ɚ	8739
outside	aw t s aj ɾ	8671
city	s ɪ tʲ i	8624
feeling	fʲ i ʎ ɪ ŋ	8577
black	b l æ k	8565
seems	s iː m z	8545
full	f ʊ ɫ	8512
till	tʰ ɪ ɫ	8503
sick	s ɪ k	8437
light	l aj ʔ	8425
shoot	ʃ ʉː t	8412
news	ɲ ʉː z	8399
lose	ʎ ʉː z	8382
wonderful	w ɐ n d ɚ f ɫ̩	8364
months	m ɐ n s s	8314
save	s ej v	8278
hour	aw ɹ	8277
country	kʰ ɐ n tʲ ɹ i	8254
needs	ɲ iː d z	8198
wow	w aw	8160
able	ej b ɫ̩	8155
frank	f ɹ æ ŋ k	8129
perfect	pʰ ɝ fʲ ɪ k t	8091
running	ɹ ɐ ɲ ɪ n	8054
child	tʃ aj ɫ d	8040
whoa	w ow	8023
died	d aj ɾ	8018
order	ɒ ɹ ɾ ɚ	7985
living	ʎ ɪ vʲ ɪ n	7983
sounds	s aw n d z	7970
alive	ə l aj v	7878
food	f ʉ d	7876
gentlemen	dʒ ɛ n t ə ɫ m ə n	7874
luck	l ɐ k	7840
hair	h ɛ ɹ	7831
drive	d ɹ aj v	7810
promise	p ɹ ɑ mʲ ɪ s	7809
sex	s ɛ k s	7761
music	mʲ ʉ z ɪ k	7734
ya	j ə	7664
power	pʰ aw ɹ	7600
sort	s ɒ ɹ t	7584
special	s p ɛ ʃ ɫ̩	7577
serious	s ɪ ɹ i ə s	7566
street	ʃ tʲ ɹ iː t	7557
red	ɹ ɛ d	7551
dance	d æ n s	7550
hang	h æ ŋ	7535
touch	tʰ ɐ tʃ	7534
team	tʲ iː m	7528
playing	p l ej ɪ n	7515
company	kʰ ɐ m p ə ɲ i	7507
pull	pʰ ʊ ɫ	7469
plan	p l æ n	7432
sweet	s w iː t	7405
ten	tʰ ɛ n	7395
coffee	kʰ ɒ fʲ i	7371
lucky	l ɐ c i	7316
sound	s aw n	7313
safe	s ej f	7303
date	d ej t	7218
leaving	ʎ iː vʲ ɪ ŋ	7211
parents	pʰ ɛ ɹ n̩ s	7177
president	p ɹ ɛ z ɪ d ə n t	7174
himself	ç ɪ m s ɛ ɫ f	7168
seem	s iː m	7131
lives	ʎ ɪ v z	7124
air	ɛ ɹ	7090
taken	tʰ ej k ə n	7071
picture	pʰ ɪ k tʃ ɚ	7061
ladies	l ej dʲ i z	7054
lord	l ɒ ɹ d	7046
sent	s ɛ n t	7038
fast	f æ s	7010
happens	h æ p n̩ z	6996
perhaps	pʰ ɚ h æ p s	6939
catch	cʰ æ tʃ	6911
ride	ɹ aj d	6904
win	w ɪ n	6867
kidding	cʰ ɪ ɾʲ ɪ n	6822
top	tʰ ɑ p	6805
scared	s c ɛ ɹ d	6803
dream	dʲ ɹ iː m	6798
sign	s aj n	6797
meeting	mʲ iː tʲ ɪ ŋ	6752
sense	s ɛ n s	6722
beat	bʲ iː ʔ	6716
control	kʰ ə n tʃ ɹ ow ɫ	6662
drop	d ɹ ɑ p	6661
cold	kʰ ow ɫ d	6638
weeks	w iː k s	6637
darling	d ɑ ɹ ʎ ɪ ŋ	6613
figure	fʲ ɪ ɟ ɚ	6598
king	cʰ ɪ ŋ	6592
poor	pʰ ɒ ɹ	6583
throw	θ ɹ ow	6570
asking	æ s c ɪ n	6546
write	ɹ aj ʔ	6467
cannot	cʰ ɛ n ɑ ʔ	6465
suppose	s ə pʰ ow z	6416
small	s m ɒ ɫ	6373
human	ç ʉ m ə n	6363
piece	pʰ iː s	6349
boss	b ɒ s	6339
hospital	h ɑ s pʲ ɪ t ɫ̩	6334
uncle	ɐ ŋ k ɫ̩	6327
past	pʰ æ s	6312
calling	kʰ ɑː ʎ ɪ n	6311
known	n ow n	6300
follow	f ɑ l ow	6283
movie	m ʉː vʲ i	6271
ha	h ə	6260
straight	s t ɹ ej t	6244
words	w ɝ d z	6223
clean	c ʎ i n	6183
kiss	cʰ ɪ s	6179
looked	l ʊ k t	6166
feet	fʲ iː t	6157
evening	iː v ɲ ɪ ŋ	6155
million	mʲ ɪ ʎ ə n	6145
lie	l aj	6133
felt	f ɛ ɫ t	6111
moving	m ʉː vʲ ɪ n	6104
certainly	s ɝ t ə n ʎ i	6067
step	s t ɛ p	6052
learn	l ɝ n	6047
fall	f ɒ ɫ	6044
bill	bʲ ɪ ɫ	6041
questions	cʷ ɛ s tʃ n̩ z	6016
finally	f aj ɲ ʎ i	5989
takes	tʰ ej k s	5986
class	c ʎ æ s	5985
quiet	kʷ aj ɪ t	5978
wonder	w ɐ n d ɚ	5966
goodbye	ɡ ʊ d b aj	5942
law	l ɒ	5932
become	bʲ i kʰ ɐ m	5894
general	dʒ ɛ n ɹ ɫ̩	5885
worked	w ɝ k t	5877
rather	ɹ æ d̪ ɚ	5825
possible	pʰ ɑ s ə b ə ɫ	5816
goddamn	ɡ ɑ d ə m	5815
unless	ɐ n l ɛ s	5798
mad	m æ d	5784
absolutely	æ b z ə ʎ ʉ t ʎ i	5769
tired	tʰ aj ɹ d	5745
murder	m ɝ d ɚ	5717
road	ɹ ow ɾ	5709
mike	m aj k	5707
eye	aj	5701
except	ɛ k s ɛ t	5696
somewhere	s ɐ m w ɛ ɹ	5688
explain	ɪ k s p l ej n	5670
charlie	tʃ ɑ ɹ ʎ i	5668
less	l ɛ s	5666
none	n ɐ n	5641
loved	l ɐ v d	5627
giving	ɟ ɪ vʲ ɪ n	5613
seeing	s iː ɪ n	5591
tom	tʰ ɑ m	5588
secret	s iː c ɹ ɪ ʔ	5585
wear	w ɛ ɹ	5576
worth	w ɝ θ	5569
act	æ k t	5565
careful	cʰ ɛ ɹ f ə ɫ	5550
quick	cʷ ɪ k	5542
handle	h æ n d ə ɫ	5529
pass	pʰ æ s	5514
early	ɝ ʎ i	5510
report	ɹ ɪ pʰ ɒ ɹ t	5508
state	s t ej t	5500
busy	bʲ ɪ z i	5433
turned	tʰ ɝ n d	5388
table	tʰ ej b ə ɫ	5387
wake	w ej k	5366
works	w ɝ k s	5357
broke	b ɹ ow k	5355
ball	b ɑː ɫ	5353
major	m ej dʒ ɚ	5343
seven	s ɛ v n̩	5327
mouth	m aw θ	5325
marry	m ɛ ɹ i	5322
meant	m ɛ n	5316
fault	f ɒ ɫ t	5310
lunch	l ɐ n tʃ	5310
lieutenant	ʎ ʉ tʰ ɛ n ə n t	5306
expect	ɪ k s p ɛ k t	5299
hmm	ə m	5291
mama	m ɑ m ə	5289
future	fʲ ʉː tʃ ɚ	5278
paper	pʰ ej p ɚ	5271
officer	ɒ fʲ ɪ s ɚ	5265
hotel	h ow tʰ ɛ ɫ	5264
buddy	b ɐ ɾʲ i	5247
agent	ej dʒ ɪ n	5235
thinks	θ ɪ ŋ k s	5235
talked	tʰ ɑ k t	5226
blue	b l ʉː	5222
mistake	mʲ ɪ s t ej k	5200
ones	w ɐ n z	5177
wedding	w ɛ dʲ ɪ ŋ	5173
clothes	k l ow z	5158
weird	w ɪ ɹ d	5156
changed	tʃ ej n dʒ d	5148
court	kʰ ɒ ɹ t	5137
floor	f l ɒ ɹ	5132
watching	w ɑ tʃ ɪ n	5081
building	bʲ ɪ ɫ dʲ ɪ n	5078
earth	ɝ θ	5074
dude	dʲ ʉː d	5071
others	ɐ ð ɚ z	5061
longer	l ɒ ŋ ɡ ɚ	5046
finish	fʲ ɪ ɲ ɪ ʃ	5045
forgot	f ɚ ɡ ɑ	5045
ship	ʃ ɪ p	5043
club	k l ɐ b	5038
attention	ə tʰ ɛ n ʃ ə n	5032
eight	ej t	5010
worse	w ɝ s	5002
pain	pʰ ej n	4995
sing	s ɪ ŋ	4977
blow	b l ow	4976
choice	tʃ ɔj s	4975
ls	ɛ ɫ ɛ s	4967
ray	ɹ ej	4966
birthday	b ɝ θ d ej	4958
stick	s tʲ ɪ k	4953
relax	ɹ ɪ l æ k s	4936
yesterday	j ɛ s t ɚ d ej	4935
honor	ɑ n ɚ	4912
colonel	kʰ ɝ n ə ɫ	4909
smart	s m ɑ ɹ t	4909
boat	b ow t	4885
plane	p l ej n	4872
month	m ɐ n θ	4854
lovely	l ɐ vʲ ʎ i	4853
given	ɟ ɪ v ə n	4851
train	t ɹ ej n	4848
l	ɛ ɫ	4841
fair	f ɛ ɹ	4832
worried	w ɝ ɹ i d	4831
ooh	ʉː	4827
needed	ɲ iː dʲ ɪ d	4818
sitting	s ɪ tʲ ɪ ŋ	4814
security	s ə cʰ ʊ ɹ ɪ ɾʲ i	4810
cover	kʰ ɐ v ɚ	4808
across	ə k ɹ ɒ s	4801
bag	b æ ɡ	4796
terrible	tʰ ɛ ɹ ɪ b ɫ̩	4795
caught	kʰ ɑː t	4791
song	s ɒ ŋ	4778
spend	s p ɛ n	4757
horse	h ɒ ɹ s	4737
ring	ɹ ɪ n	4730
sell	s ɛ ɫ	4705
return	ɹ ɪ tʰ ɝ n	4676
c	s iː	4675
personal	pʰ ɝ s n ə ɫ	4675
message	m ɛ s ɪ dʒ	4667
system	s ɪ s t ə m	4667
afternoon	æ f t ɚ n ʉ n	4666
bob	b ɑ b	4666
happening	h æ p ɲ ɪ n	4618
tough	tʰ ɐ f	4616
peter	pʰ iː ɾ ɚ	4596
quit	cʷ ɪ t	4595
count	kʰ aw n	4588
box	b ɑ k s	4577
missed	mʲ ɪ s t	4568
present	p ɹ ɛ z ə n t	4562
charge	tʃ ɑ ɹ dʒ	4559
kept	cʰ ɛ p t	4559
information	ɪ n f ɚ m ej ʃ ə n	4557
fool	f ʉː ɫ	4556
simple	s ɪ m p ə ɫ	4555
middle	mʲ ɪ d ə ɫ	4549
calm	kʰ ɒː m	4541
surprise	s ɚ p ɹ aj z	4534
forever	f ə ɹ ɛ v ɚ	4529
decided	dʲ ɪ s aj dʲ ɪ d	4521
dark	d ɑ ɹ k	4519
anywhere	ɪ ɲ i w ɛ ɹ	4501
miles	m aj ɫ z	4500
swear	s w ɛ ɹ	4496
land	l æ n	4494
missing	mʲ ɪ s ɪ ŋ	4484
cute	cʰ ʉː t	4475
lying	l aj ɪ n	4472
master	m æ s t ɚ	4450
dress	d ɹ ɛ s	4447
key	cʰ iː	4430
strong	s t ɹ ɒ ŋ	4430
fix	fʲ ɪ k s	4426
interesting	ɪ n tʃ ə s tʲ ɪ ŋ	4421
wearing	w ɛ ɹ ɪ n	4410
johnny	dʒ ɑ ɲ i	4408
strange	s t ɹ ej n dʒ	4408
rock	ɹ ɑ k	4394
voice	v ɔj s	4394
cop	kʰ ɑ p	4393
window	w ɪ n d ow	4386
bar	b ɑ ɹ	4385
totally	tʰ ow ɾ ə ʎ i	4377
interested	ɪ n tʃ ə s tʲ ɪ d	4374
appreciate	ə p ɹ iː ʃ i ej t	4373
army	ɑ ɹ mʲ i	4370
paid	pʰ ej ɾ	4369
short	ʃ ɒ ɹ t	4367
record	ɹ ɛ k ɚ ɾ	4365
bought	b ɒ ʔ	4362
card	kʰ ɑ ɹ d	4357
certain	s ɝ t n̩	4354
y	i	4345
college	kʰ ɑ ʎ ɪ dʒ	4344
evidence	ɛ vʲ ɪ d ə n s	4335
fly	f l aj	4335
bank	b æ ŋ k	4334
besides	bʲ i s aj d z	4328
completely	kʰ ə m pʲ ʎ iː t ʎ i	4303
ran	ɹ æ n	4296
cops	kʰ ɑ p s	4290
b	bʲ iː	4289
test	tʰ ɛ s t	4288
history	ç ɪ s t ə ɹ i	4280
finished	fʲ ɪ ɲ ɪ ʃ t	4269
born	b ɒ ɹ n	4268
proud	p ɹ aw ɾ	4265
fish	fʲ ɪ ʃ	4258
join	dʒ ɔj n	4255
lead	ʎ iː d	4246
smell	s m ɛ ɫ	4240
near	ɲ ɪ ɹ	4238
apartment	pʰ ɑ ɹ m n̩	4235
enjoy	ɪ n dʒ ɔj	4222
letter	l ɛ ɾ ɚ	4213
situation	s ɪ tʃ ʉː ej ʃ n̩	4207
trip	tʲ ɹ ɪ p	4202
harry	h ɛ ɹ i	4193
mark	m ɑ ɹ k	4183
store	s t ɒ ɹ	4178
yo	j ow	4177
